"wbic","county","waterbody.name","trtyco","trtystat","trtyprop","resstat","resprop","outarea","region","wtm91.x","wtm91.y","lat","long","lake.area","class.code","shore.length","max.depth","draintype.code","depth.below.20","depth.above.3","sand","gravel","rock","muck","drainage","drainage.ag","drainage.wild","watershed.desc","source","outlet","water.fluct","wet.adj","public.desc","wae.code","mus.code","lake.chain.code"
2063200,"pepin","un_lake",0,0,0,0,0,0,"wcr",370932.79,467297.59,44.66,-91.88,1,NA,0.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2063300,"pepin","browning_lake",0,0,0,0,0,0,"wcr",369786.96,469345.29,44.68,-91.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2063700,"dunn","un_lake",2,0,0,0,0,0,"wcr",367930.19,475036.84,44.73,-91.92,3,NA,0.4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2063800,"dunn","un_lake",2,0,0,0,0,0,"wcr",367547.83,475453.6,44.73,-91.92,2,NA,0.2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2064000,"dunn","un_lake",2,0,0,0,0,0,"wcr",367558.71,475857.07,44.73,-91.92,5,NA,0.8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2065900,"dunn","lake_menomin",2,0,0,0,0,0,"wcr",367799.7,491937.39,44.88,-91.92,1405,4,10.5,34,"dg",15,15,70,10,0,20,9,90,10,1761,0,122,2,101,4.2,NA,NA,NA
2068000,"dunn","tainter_lake",2,1,1,0,0,0,"wcr",370686.79,497519.2,44.93,-91.89,1752,4,24.5,37,"dg",15,15,65,5,5,25,25,85,15,1677,2,120,1,610,0.2,"nr","rem",NA
2069100,"dunn","un_lake",2,1,1,0,0,0,"wcr",376948.5,510590.57,45.05,-91.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2069200,"dunn","un_lake",2,1,1,0,0,0,"wcr",376948.5,510590.57,45.05,-91.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2069300,"dunn","un_lake",2,1,1,0,0,0,"wcr",376997.09,512196.14,45.06,-91.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2070400,"dunn","un_lake",2,1,1,0,0,0,"wcr",363353.79,510558.76,45.05,-91.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2071500,"st_croix","un_lake",2,0,0,0,0,0,"wcr",349475.38,507718.7,45.02,-92.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2071700,"st_croix","glen_lake",2,0,0,0,0,0,"wcr",349459.16,506102.76,45,-92.16,84,4,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2072300,"st_croix","un_lake",2,1,1,0,0,0,"wcr",347744.47,517898.07,45.11,-92.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2072400,"st_croix","little_bushy_lake",2,1,1,0,0,0,"wcr",345727.9,517547.37,45.1,-92.21,6,5,0.3,4,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2072500,"st_croix","un_lake",2,1,1,0,0,0,"wcr",345324.56,517559.43,45.1,-92.22,2,NA,0.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2072600,"st_croix","bushy_lake",2,1,1,0,0,0,"wcr",344927.68,517977.41,45.11,-92.22,28,5,1.9,10,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2073200,"st_croix","un_lake",2,0,0,0,0,0,"wcr",346343.29,511109.93,45.05,-92.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2073300,"st_croix","un_lake",2,0,0,0,0,0,"wcr",346696.5,509082.89,45.03,-92.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2073800,"st_croix","un_lake",2,1,1,0,0,0,"wcr",347588.7,512282.95,45.06,-92.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2075000,"dunn","un_quarry",2,1,1,0,0,0,"wcr",354720.55,521460.91,45.14,-92.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2075900,"barron","long_lake",1,1,1,0,0,0,"nor",351819.67,536687.07,45.28,-92.14,6,5,0.5,6,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2077900,"barron","un_lake",1,1,1,0,0,0,"nor",359735.64,529993.52,45.22,-92.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2079000,"barron","big_moon_lake",1,1,1,0,0,0,"nor",354498.34,543331.85,45.34,-92.11,191,4,2.7,48,"se",40,15,80,20,0,0,1,75,25,7,2,201,1,105,0.7,"cst","c",NA
2079100,"barron","little_moon_lake",1,1,1,0,0,0,"nor",351692.2,542968.88,45.34,-92.14,27,6,0.9,30,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
